"tabela","categoria","med_altura","med_peso","med_imc","n_dist","sexo"
"geral","qt_criancas",-0.23,0.09,0.32,6494753,NA
"regiao","centro_oeste",-0.09,0.12,0.24,197656,"Feminino"
"regiao","centro_oeste",-0.16,0.13,0.32,186104,"Masculino"
"regiao","nordeste",-0.17,0.07,0.24,1473190,"Feminino"
"regiao","nordeste",-0.25,0.09,0.34,1387187,"Masculino"
"regiao","norte",-0.6,-0.27,0.12,444092,"Feminino"
"regiao","norte",-0.7,-0.26,0.26,411188,"Masculino"
"regiao","sudeste",-0.07,0.2,0.34,886999,"Feminino"
"regiao","sudeste",-0.13,0.21,0.41,833382,"Masculino"
"regiao","sul",-0.11,0.27,0.47,341527,"Feminino"
"regiao","sul",-0.17,0.29,0.56,333428,"Masculino"
"estados","Acre",-0.58,-0.22,0.18,22764,"Feminino"
"estados","Acre",-0.67,-0.19,0.33,21115,"Masculino"
"estados","Alagoas",-0.17,0.12,0.31,86192,"Feminino"
"estados","Alagoas",-0.25,0.14,0.41,81355,"Masculino"
"estados","Amapa",-0.83,-0.38,0.17,12962,"Feminino"
"estados","Amapa",-0.92,-0.36,0.33,12364,"Masculino"
"estados","Amazonas",-0.73,-0.33,0.17,111176,"Feminino"
"estados","Amazonas",-0.81,-0.3,0.31,102713,"Masculino"
"estados","Bahia",-0.06,0.06,0.12,365605,"Feminino"
"estados","Bahia",-0.15,0.05,0.19,345044,"Masculino"
"estados","Ceara",-0.18,0.21,0.45,247396,"Feminino"
"estados","Ceara",-0.25,0.24,0.57,233474,"Masculino"
"estados","Distrito Federal",-0.14,0.03,0.14,15456,"Feminino"
"estados","Distrito Federal",-0.22,0.02,0.22,14325,"Masculino"
"estados","Espirito Santo",0.02,0.2,0.26,57000,"Feminino"
"estados","Espirito Santo",-0.05,0.21,0.33,54589,"Masculino"
"estados","Goias",-0.01,0.14,0.19,83988,"Feminino"
"estados","Goias",-0.08,0.15,0.27,80121,"Masculino"
"estados","Maranhao",-0.5,-0.27,0.02,222404,"Feminino"
"estados","Maranhao",-0.62,-0.3,0.13,208476,"Masculino"
"estados","Mato Grosso",-0.11,0.12,0.25,51167,"Feminino"
"estados","Mato Grosso",-0.19,0.11,0.32,47480,"Masculino"
"estados","Mato Grosso do Sul",-0.19,0.13,0.34,47045,"Feminino"
"estados","Mato Grosso do Sul",-0.27,0.15,0.45,44178,"Masculino"
"estados","Minas Gerais",-0.02,0.16,0.23,337355,"Feminino"
"estados","Minas Gerais",-0.08,0.17,0.31,328078,"Masculino"
"estados","Para",-0.64,-0.31,0.1,218163,"Feminino"
"estados","Para",-0.76,-0.31,0.23,201880,"Masculino"
"estados","Paraiba",-0.07,0.22,0.36,121715,"Feminino"
"estados","Paraiba",-0.12,0.26,0.46,117895,"Masculino"
"estados","Parana",-0.07,0.25,0.41,165622,"Feminino"
"estados","Parana",-0.14,0.27,0.49,165389,"Masculino"
"estados","Pernambuco",-0.07,0.22,0.36,199361,"Feminino"
"estados","Pernambuco",-0.13,0.24,0.45,185149,"Masculino"
"estados","Piaui",-0.27,-0.1,0.08,94621,"Feminino"
"estados","Piaui",-0.34,-0.08,0.17,90707,"Masculino"
"estados","Rio Grande do Norte",-0.19,0.2,0.44,74759,"Feminino"
"estados","Rio Grande do Norte",-0.25,0.23,0.55,69181,"Masculino"
"estados","Rio Grande do Sul",-0.13,0.34,0.59,125154,"Feminino"
"estados","Rio Grande do Sul",-0.17,0.38,0.69,118587,"Masculino"
"estados","Rio de Janeiro",-0.16,0.17,0.38,158088,"Feminino"
"estados","Rio de Janeiro",-0.24,0.18,0.47,141564,"Masculino"
"estados","Rondonia",-0.09,0.04,0.12,25049,"Feminino"
"estados","Rondonia",-0.13,0.1,0.24,23015,"Masculino"
"estados","Roraima",-0.55,-0.21,0.16,13586,"Feminino"
"estados","Roraima",-0.7,-0.25,0.27,12491,"Masculino"
"estados","Santa Catarina",-0.2,0.16,0.38,50751,"Feminino"
"estados","Santa Catarina",-0.27,0.16,0.47,49452,"Masculino"
"estados","Sao Paulo",-0.1,0.26,0.44,334556,"Feminino"
"estados","Sao Paulo",-0.16,0.26,0.52,309151,"Masculino"
"estados","Sergipe",-0.03,0.17,0.25,61137,"Feminino"
"estados","Sergipe",-0.1,0.18,0.33,55906,"Masculino"
"estados","Tocantins",-0.25,-0.09,0.06,40392,"Feminino"
"estados","Tocantins",-0.36,-0.09,0.18,37610,"Masculino"
"raca","Amarela",-0.23,0.01,0.2,8591,"Feminino"
"raca","Amarela",-0.28,0.03,0.28,8474,"Masculino"
"raca","Branca",-0.09,0.21,0.36,971999,"Feminino"
"raca","Branca",-0.14,0.24,0.45,893229,"Masculino"
"raca","Indígena",-1.04,-0.38,0.38,29925,"Feminino"
"raca","Indígena",-1.16,-0.39,0.51,28313,"Masculino"
"raca","Parda",-0.23,0.03,0.23,2055994,"Feminino"
"raca","Parda",-0.32,0.04,0.33,1951789,"Masculino"
"raca","Preta",-0.17,0.11,0.3,124327,"Feminino"
"raca","Preta",-0.28,0.1,0.38,125092,"Masculino"
"sexo","Feminino",-0.19,0.08,0.27,3343464,NA
"sexo","Masculino",-0.26,0.1,0.37,3151289,NA
