"tabela","categoria","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade","sexo"
"geral","geral",17.68,0.01,6.54,0.01,NA
"regiao","centro_oeste",16.23,0.05,5.65,0.03,"Feminino"
"regiao","centro_oeste",16.92,0.05,6.3,0.03,"Masculino"
"regiao","nordeste",17.88,0.02,6.46,0.01,"Feminino"
"regiao","nordeste",18.84,0.02,7.5,0.01,"Masculino"
"regiao","norte",13.51,0.03,4.36,0.02,"Feminino"
"regiao","norte",15.18,0.03,5.31,0.02,"Masculino"
"regiao","sudeste",17.56,0.02,6.35,0.02,"Feminino"
"regiao","sudeste",18.1,0.03,6.93,0.02,"Masculino"
"regiao","sul",18.67,0.04,6.59,0.02,"Feminino"
"regiao","sul",19.99,0.04,7.44,0.03,"Masculino"
"estados","Acre",14.47,0.14,4.64,0.08,"Feminino"
"estados","Acre",16.22,0.15,5.5,0.09,"Masculino"
"estados","Alagoas",18.92,0.08,6.97,0.05,"Feminino"
"estados","Alagoas",20.23,0.08,8.21,0.06,"Masculino"
"estados","Amapa",12.73,0.18,3.99,0.11,"Feminino"
"estados","Amapa",14.82,0.2,5.07,0.12,"Masculino"
"estados","Amazonas",13.51,0.06,4.6,0.04,"Feminino"
"estados","Amazonas",15.5,0.07,5.53,0.04,"Masculino"
"estados","Bahia",14.87,0.03,5.13,0.02,"Feminino"
"estados","Bahia",15.31,0.04,5.67,0.02,"Masculino"
"estados","Ceara",22.34,0.05,8.32,0.03,"Feminino"
"estados","Ceara",23.68,0.05,10.05,0.04,"Masculino"
"estados","Distrito Federal",14.11,0.18,4.56,0.11,"Feminino"
"estados","Distrito Federal",14.39,0.19,5.13,0.12,"Masculino"
"estados","Espirito Santo",15.61,0.09,5.32,0.05,"Feminino"
"estados","Espirito Santo",16.26,0.09,5.75,0.06,"Masculino"
"estados","Goias",16.62,0.08,6.04,0.05,"Feminino"
"estados","Goias",17.19,0.08,6.74,0.05,"Masculino"
"estados","Maranhao",14.17,0.04,4.77,0.03,"Feminino"
"estados","Maranhao",15.24,0.05,5.6,0.03,"Masculino"
"estados","Mato Grosso",16,0.1,5.69,0.06,"Feminino"
"estados","Mato Grosso",16.28,0.1,6.03,0.07,"Masculino"
"estados","Mato Grosso do Sul",16.36,0.1,5.21,0.06,"Feminino"
"estados","Mato Grosso do Sul",17.83,0.11,6.14,0.07,"Masculino"
"estados","Minas Gerais",16.06,0.04,5.67,0.02,"Feminino"
"estados","Minas Gerais",16.87,0.04,6.41,0.02,"Masculino"
"estados","Para",13.36,0.04,4.18,0.02,"Feminino"
"estados","Para",14.97,0.05,5.18,0.03,"Masculino"
"estados","Paraiba",18.75,0.06,6.78,0.04,"Feminino"
"estados","Paraiba",20.22,0.07,8.03,0.04,"Masculino"
"estados","Parana",16.72,0.05,5.61,0.03,"Feminino"
"estados","Parana",17.95,0.05,6.43,0.03,"Masculino"
"estados","Pernambuco",20.96,0.05,8.06,0.04,"Feminino"
"estados","Pernambuco",21.78,0.06,9.23,0.04,"Masculino"
"estados","Piaui",14.58,0.06,4.84,0.04,"Feminino"
"estados","Piaui",15.48,0.07,5.72,0.04,"Masculino"
"estados","Rio Grande do Norte",21.76,0.09,8.34,0.06,"Feminino"
"estados","Rio Grande do Norte",23.18,0.09,9.68,0.07,"Masculino"
"estados","Rio Grande do Sul",21.86,0.07,8.09,0.04,"Feminino"
"estados","Rio Grande do Sul",23.58,0.07,9.17,0.05,"Masculino"
"estados","Rio de Janeiro",19.52,0.06,7.44,0.04,"Feminino"
"estados","Rio de Janeiro",20.16,0.07,8.05,0.05,"Masculino"
"estados","Rondonia",14.03,0.13,4.69,0.08,"Feminino"
"estados","Rondonia",15.28,0.14,5.68,0.09,"Masculino"
"estados","Roraima",13.77,0.17,4.15,0.1,"Feminino"
"estados","Roraima",15.18,0.2,4.85,0.12,"Masculino"
"estados","Santa Catarina",17.67,0.1,6.29,0.06,"Feminino"
"estados","Santa Catarina",18.79,0.1,6.97,0.07,"Masculino"
"estados","Sao Paulo",18.74,0.04,6.83,0.03,"Feminino"
"estados","Sao Paulo",19.03,0.04,7.27,0.03,"Masculino"
"estados","Sergipe",18.84,0.09,6.88,0.06,"Feminino"
"estados","Sergipe",19.56,0.1,7.88,0.07,"Masculino"
"estados","Tocantins",13.63,0.1,4.5,0.06,"Feminino"
"estados","Tocantins",14.95,0.11,5.33,0.07,"Masculino"
"racacor_sinasc","Amarela",16.22,0.23,5.6,0.14,"Feminino"
"racacor_sinasc","Amarela",17.39,0.25,6.58,0.16,"Masculino"
"racacor_sinasc","Branca",18.82,0.02,6.8,0.01,"Feminino"
"racacor_sinasc","Branca",19.69,0.02,7.68,0.02,"Masculino"
"racacor_sinasc","Indígena",15.16,0.12,4.06,0.06,"Feminino"
"racacor_sinasc","Indígena",18.07,0.13,5.12,0.08,"Masculino"
"racacor_sinasc","Parda",16.54,0.01,5.85,0.01,"Feminino"
"racacor_sinasc","Parda",17.58,0.02,6.74,0.01,"Masculino"
"racacor_sinasc","Preta",15.95,0.06,5.65,0.04,"Feminino"
"racacor_sinasc","Preta",17.01,0.06,6.34,0.04,"Masculino"
"sexo","Feminino",17.21,0.01,6.13,0.01,NA
"sexo","Masculino",18.2,0.01,7,0.01,NA
